time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
9724.950000	7.688150	-96.912750	-1392.350740	158.399770
9774.950000	7.698120	-94.929100	-1391.511500	158.479540
9824.950000	7.877610	-96.950900	-1391.053740	158.230250
9874.950000	7.767920	-95.882780	-1390.328940	158.449620
9924.950000	7.638290	-98.209760	-1391.511500	158.419710
9974.950000	7.688150	-96.454990	-1391.206330	158.449620
10024.950000	7.728030	-97.980870	-1392.884800	158.329960
10074.950000	7.787860	-96.226110	-1391.397060	158.290080
10124.950000	7.757950	-98.019020	-1390.634120	158.230250
10174.950000	7.738010	-97.332370	-1390.481530	158.449620
10224.950000	7.708090	-97.141640	-1390.977440	158.260160
10274.950000	7.688150	-95.882780	-1392.160000	158.349910
10324.950000	7.867640	-96.531280	-1392.045560	158.449620
10374.950000	7.807810	-95.501310	-1392.045560	158.300050
10424.950000	8.007240	-96.874610	-1391.435210	158.339940
10474.950000	7.827750	-97.065340	-1392.884800	158.339940
10524.950000	7.668200	-97.408670	-1393.037390	158.120560
10574.950000	7.728030	-97.942730	-1391.892970	158.459600
10624.950000	7.708090	-96.493140	-1392.198150	158.449620
10674.950000	7.797840	-95.959080	-1391.969270	158.319990
10724.950000	7.897550	-97.523110	-1392.427030	158.379820
10774.950000	7.747980	-95.539460	-1390.595970	158.270140
10824.950000	7.787860	-95.539460	-1391.358910	158.339940
10874.950000	7.887580	-96.454990	-1390.481530	158.260160
10924.950000	7.797840	-97.828280	-1390.863000	158.150480
10974.950000	7.897550	-95.234280	-1392.694060	158.339940
11024.950000	7.698120	-96.912750	-1392.884800	158.339940
11074.950000	7.688150	-94.089870	-1392.465180	158.270140
11124.950000	7.837720	-96.607580	-1390.595970	158.300050
11174.950000	7.837720	-97.027200	-1391.053740	158.250190
11224.950000	7.797840	-95.386870	-1390.061910	158.180390
11274.950000	7.897550	-95.463160	-1390.214500	158.230250
11324.950000	7.747980	-96.607580	-1390.176350	158.260160
11374.950000	7.847690	-96.989050	-1391.473360	158.060730
11424.950000	7.787860	-94.852810	-1391.854830	158.100620
11474.950000	7.877610	-94.738370	-1390.519680	158.140500
11524.950000	7.957380	-95.920930	-1390.214500	158.220280
11574.950000	7.897550	-96.950900	-1390.061910	158.240220
11624.950000	8.007240	-96.836460	-1389.260820	158.290080
11674.950000	7.897550	-97.332370	-1388.650470	158.220280
11724.950000	8.106960	-95.615750	-1389.794880	158.250190
11774.950000	8.077040	-97.751990	-1389.833030	158.190360
11824.950000	8.017210	-95.539460	-1388.993790	158.200330
11874.950000	8.136870	-95.539460	-1390.710410	158.190360
11924.950000	8.166790	-95.844630	-1390.061910	158.270140
11974.950000	8.027180	-93.784690	-1389.680440	158.220280
12024.950000	7.787860	-95.768340	-1390.023770	157.990930
12074.950000	7.957380	-96.340550	-1389.756740	158.160450
12124.950000	7.997270	-96.912750	-1389.260820	158.080670
12174.950000	7.917500	-96.035370	-1391.816680	158.100620
12224.950000	8.116930	-96.760170	-1388.001970	158.220280
12274.950000	8.057100	-97.294220	-1388.383440	158.090650
12324.950000	8.186730	-97.256080	-1388.269000	158.170420
12374.950000	7.997270	-95.844630	-1389.718590	158.190360
12424.950000	8.186730	-97.675700	-1387.544200	158.100620
12474.950000	8.256530	-96.874610	-1390.290800	158.180390
12524.950000	8.236590	-97.942730	-1387.696790	158.220280
12574.950000	8.067070	-96.569430	-1388.345290	158.190360
12624.950000	8.087010	-97.713840	-1388.040120	158.140500
12674.950000	8.087010	-98.095310	-1390.023770	158.120560
12724.950000	8.096990	-95.920930	-1386.781260	158.190360
12774.950000	8.096990	-96.187960	-1387.429760	158.070700
12824.950000	8.146840	-97.828280	-1387.544200	158.040790
12874.950000	8.206670	-97.141640	-1386.514230	158.070700
12924.950000	8.146840	-97.523110	-1387.277170	158.150480
12974.950000	8.196700	-96.836460	-1386.132760	158.030820
13024.950000	8.266500	-98.514930	-1387.963820	157.871270
13074.950000	8.126900	-95.043540	-1386.552380	158.070700
13124.950000	8.047130	-96.989050	-1387.124580	158.010870
13174.950000	8.126900	-96.073520	-1386.094610	158.000900
13224.950000	8.356250	-96.912750	-1386.476080	158.170420
13274.950000	8.196700	-96.607580	-1387.162730	158.090650
13324.950000	8.286450	-98.209760	-1385.598700	158.000900
13374.950000	8.336300	-96.836460	-1386.437940	158.120560
13424.950000	8.336300	-97.103490	-1386.437940	158.060730
13474.950000	8.256530	-98.438640	-1385.751290	158.220280
13524.950000	8.306390	-96.378690	-1387.124580	158.270140
13574.950000	8.236590	-96.073520	-1388.230850	158.100620
13624.950000	8.376190	-95.768340	-1386.743110	158.030820
13674.950000	8.276480	-97.408670	-1386.132760	158.280110
13724.950000	8.406110	-96.302400	-1386.514230	158.100620
13774.950000	8.346280	-97.637550	-1387.506060	157.891210
13824.950000	8.386160	-97.561250	-1386.018320	158.120560
13874.950000	8.226620	-98.324200	-1384.912050	158.000900
13924.950000	8.306390	-97.332370	-1386.170910	158.070700
13974.950000	8.236590	-97.484960	-1383.958370	158.160450
14024.950000	8.266500	-96.531280	-1386.170910	158.060730
14074.950000	8.455960	-98.171610	-1383.843930	157.871270
14124.950000	8.555680	-96.454990	-1385.293520	157.990930
14174.950000	8.386160	-98.781960	-1383.729490	158.080670
14224.950000	8.366220	-97.484960	-1382.928400	157.980960
14274.950000	8.505820	-96.569430	-1384.149110	157.931100
14324.950000	8.326330	-98.705670	-1384.873900	157.970990
14374.950000	8.236590	-97.866430	-1386.094610	158.000900
14424.950000	8.475910	-97.179780	-1386.437940	157.911160
14474.950000	8.635450	-97.599400	-1385.751290	158.100620
14524.950000	8.585600	-98.514930	-1384.950200	157.891210
14574.950000	8.346280	-97.866430	-1384.645020	157.821410
14624.950000	8.535740	-99.888230	-1383.309870	158.110590
14674.950000	8.645430	-98.400490	-1383.843930	158.000900
14724.950000	8.505820	-98.019020	-1382.127310	158.010870
14774.950000	8.535740	-98.743820	-1383.386170	157.951040
14824.950000	8.545710	-98.743820	-1382.661370	157.961010
14874.950000	8.585600	-99.163430	-1382.165460	157.951040
14924.950000	8.515790	-98.247900	-1382.051020	157.901180
14974.950000	8.884750	-98.019020	-1382.966550	157.990930
15024.950000	8.725200	-98.667520	-1382.089170	157.990930
15074.950000	8.635450	-97.828280	-1381.974720	157.901180
15124.950000	8.565650	-98.324200	-1381.059190	157.791500
15174.950000	8.785030	-97.141640	-1381.783990	157.801470
15224.950000	8.675340	-99.659350	-1379.685900	157.881240
15274.950000	8.545710	-97.141640	-1382.508780	157.821410
15324.950000	8.595570	-98.934550	-1382.203610	158.040790
15374.950000	8.685310	-96.454990	-1382.203610	157.881240
15424.950000	8.725200	-98.858260	-1382.089170	158.030820
15474.950000	8.795000	-98.743820	-1383.386170	157.911160
15524.950000	8.735170	-98.972700	-1382.432490	157.911160
15574.950000	8.545710	-99.163430	-1382.470640	157.801470
15624.950000	8.505820	-97.790140	-1382.813960	157.901180
15674.950000	8.655400	-98.514930	-1382.165460	157.781520
15724.950000	8.595570	-98.209760	-1382.737670	157.980960
15774.950000	8.675340	-97.027200	-1381.631400	157.821410
15824.950000	8.665370	-97.256080	-1382.318050	157.791500
15874.950000	8.685310	-95.615750	-1382.623220	157.711720
15924.950000	8.665370	-95.196130	-1383.004700	157.761580
15974.950000	8.685310	-97.523110	-1381.555110	158.030820
16024.950000	8.745140	-97.332370	-1382.394340	157.751610
16074.950000	8.695280	-97.179780	-1381.440660	157.931100
16124.950000	8.725200	-97.713840	-1382.051020	157.671840
16174.950000	8.695280	-95.386870	-1381.974720	157.891210
